a,pole magnitude (tau=3ms),pole magnitude (tau=5ms),pole magnitude (tau=10ms)
-0.25,1.115592625062063,1.5287435899340438,1.9994566699016576
-0.24371859296482412,1.1103623947398935,1.5217927266575473,1.9905086276145498
-0.23743718592964824,1.1051406986220451,1.5148494154740337,1.9815672749994429
-0.23115577889447236,1.0999275588413466,1.5079137139025156,1.9726326711568918
-0.22487437185929648,1.0947229971767023,1.50098567978903,1.9637048755031539
-0.2185929648241206,1.0895270350529271,1.494065371307202,1.9547839477797315
-0.21231155778894473,1.0843396935409682,1.4871528469586965,1.9458699480281245
-0.20603015075376885,1.079160993358568,1.48024816557388,1.9369629365955041
-0.19974874371859297,1.0739909548712778,1.4733513863124135,1.9280629741158481
-0.1934673366834171,1.068829598093999,1.466462568663965,1.9191701215145422
-0.1871859296482412,1.0636769426929276,1.4595817724489504,1.9102844399802241
-0.18090452261306533,1.0585330079880144,1.4527090578193707,1.9014059909773513
-0.17462311557788945,1.0533978129558679,1.4458444852596597,1.8925348362186667
-0.16834170854271358,1.048271376233253,1.4389881155877013,1.8836710376544539
-0.1620603015075377,1.04315371612105,1.43214000995587,1.874814657482784
-0.15577889447236182,1.038044850588823,1.4253002298521553,1.8659657581061677
-0.14949748743718594,1.0329447972799326,1.4184688371014653,1.8571244021449287
-0.14321608040201006,1.027853573517274,1.411645893866935,1.8482906524125027
-0.13693467336683418,1.0227711963096116,1.4048314626514484,1.8394645718975182
-0.1306532663316583,1.0176976823585688,1.3980256062992584,1.8306462237637975
-0.1243718592964824,1.0126330480662964,1.3912283879976983,1.8218356713203931
-0.11809045226130652,1.0075773095437892,1.3844398712790988,1.8130329780142374
-0.11180904522613064,1.0025304826199757,1.3776601200228942,1.804238207412622
-0.10552763819095476,0.9974925828514826,1.3708891984577893,1.7954514231804448
-0.09924623115577888,0.9924636255332081,1.3641271711642209,1.7866726890772093
-0.092964824120603,0.9876468532116282,1.3573741030770126,1.7779020689136016
-0.08668341708542712,0.987646818227594,1.3506300594881309,1.7691396265576338
-0.08040201005025124,0.9876467831499777,1.3438951060497941,1.760385425900469
-0.07412060301507536,0.9876467479808327,1.3371693087778045,1.7516395308374806
-0.06783919597989949,0.9876467127232766,1.3304527340550862,1.742902005234484
-0.06155778894472361,0.9876466773856939,1.3237454486354796,1.7341729129389742
-0.05527638190954773,0.987646641969854,1.3170475196480018,1.7254523177172123
-0.04899497487437185,0.9876466064806321,1.3103590146012347,1.7167402832421637
-0.04271356783919597,0.9876465709258457,1.3036800013881167,1.708036873096066
-0.03643216080402009,0.9876465353083227,1.2970105482911398,1.699342150685498
-0.030150753768844213,0.9876464996363713,1.2903507239878702,1.6906561792750585
-0.023869346733668334,0.9876464639150815,1.2837005975569424,1.6819790219131976
-0.017587939698492455,0.9876464281539185,1.2770602384843641,1.6733107414236574
-0.011306532663316576,0.9876463923573684,1.2704297166705159,1.664651400374161
-0.0050251256281406975,0.9876463565323549,1.2638091024373634,1.6560010610328364
0.001256281407035209,0.9876463206888594,1.2571984665364144,1.6473597853568456
0.007537688442211088,0.9876462848340353,1.2505978801571507,1.6387276349279478
0.013819095477386967,0.9876462489763691,1.2440074149360645,1.6301046709353217
0.020100502512562846,0.987646213127348,1.2374271429663364,1.6214909541315765
0.026381909547738724,0.9876461772938684,1.230857136808188,1.6128865448200016
0.0326633165829146,0.987646141487698,1.2242974694999713,1.6042915027698808
0.03894472361809048,0.9876461057199348,1.2177482145700054,1.5957058872151957
0.04522613065326636,0.9876460700014744,1.211209446049242,1.5871297567919758
0.05150753768844224,0.9876460343428948,1.2046812384847874,1.5785631694950535
0.05778894472361812,0.987645998759564,1.1981636669543858,1.5700061826698661
0.064070351758794,0.987645963263144,1.1916568070819173,1.561458852890604
0.07035175879396988,0.9876459278668179,1.1851607350537854,1.5529212360129145
0.07663316582914576,0.9876458925877204,1.1786755276366487,1.5443933870251652
0.08291457286432163,0.9876458574400554,1.172201262196179,1.535875360085726
0.08919597989949751,0.9876458224398781,1.1657380167172002,1.5273672084081666
0.09547738693467339,0.9876457876042771,1.1592858698251245,1.5188689842535128
0.10175879396984927,0.9876457529513074,1.1528449008088553,1.5103807388672532
0.10804020100502515,0.9876457185012597,1.1464151896451966,1.5019025224036802
0.11432160804020103,0.987645684272977,1.139996817025048,1.4934343838778958
0.12060301507537691,0.9876456502873382,1.1335898643810698,1.4849763711315065
